epoch, lr, avg_train_loss, avg_valid_loss, model_score
Epoch 1, 0.00000402, 5.38683939, 4.44707108, NA
Epoch 2, 0.00000407, 3.98291278, 3.74873471, NA
Epoch 3, 0.00000415, 3.54249954, 3.46920896, NA
Epoch 4, 0.00000426, 3.33104372, 3.30875754, NA
Epoch 5, 0.00000441, 3.16063094, 3.18623090, NA
Epoch 6, 0.00000459, 3.06246662, 3.08653879, NA
Epoch 7, 0.00000480, 2.97808766, 3.02720547, NA
Epoch 8, 0.00000505, 2.91143990, 2.95763898, NA
Epoch 9, 0.00000533, 2.84330583, 2.90317321, NA
Epoch 10, 0.00000564, 2.79464030, 2.84316111, 
